No,Question,Idealanswer,Systemanswer,Faithfulness,Relevancy,Rationale
1,How does Caesar first enter the play?,"In a triumphal procession; he has defeated the sons of his deceased rival, Pompey","According to the sources, Julius Caesar first enters the play in Act 2, Scene 2 [SOURCE[3]]. He appears on stage wearing his nightgown, indicating that he is returning home from a meeting or some other evening activity. The stormy weather outside adds to the dramatic atmosphere, as thunder and lightning accompany Caesar's entrance.

Caesar's arrival marks an important moment in the play, as it signals the beginning of his descent into paranoia and eventually, his downfall. His nighttime appearance, coupled with the ominous weather, sets the tone for the rest of the scene, where Brutus and other conspirators gather to discuss their plans to kill Caesar [SOURCE[3]].

In contrast, earlier in Act 2, Scene 1 [SOURCE[4]], we see Brutus receiving a message about Cassius' arrival at the door. This scene takes place before Caesar's entrance, highlighting the tension and foreboding that precedes his appearance on stage.",1,1,"Wrong act/scene, fabricated details, not a ‘triumphal procession.’"
2,What does the Soothsayer say to Caesar?,“Beware the Ides of March”,"According to SOURCE [3], when asked by Portia what he has to say, the Soothsayer warns Caesar that the Senate plans to crown him that day. He advises Caesar not to attend the Senate's meeting, suggesting that if Caesar hides himself, people may whisper that he is afraid.

The Soothsayer also implies that if Caesar appears at the Senate, they might mock his absence by pretending to break up the session until another time when ""Caesar's wife shall meet with better dreams"" [SOURCE 3, lines 102-104]. He concludes by expressing a personal concern for Caesar's well-being and reasons for sharing this information.

It is in this context that the Soothsayer says to Caesar: ""I have, when you have heard what I can say. And know it now: the Senate have concluded / To give this day a crown to mighty Caesar"" [SOURCE 3, lines 93-94].",1,1,Misses clear ‘Beware the Ides...’ Direct quote missing.
3,What does Cassius first ask Brutus?,Why he has been so distant and contemplative lately,"According to SOURCE [2], when Cassius first asks Brutus, he returns from a meeting and says: ""Now, most noble Brutus, / The gods today stand friendly that we may, / Lovers in peace, lead on our days to age."" He then proceeds to ask Brutus what he is determined to do if they lose the battle. Cassius's question to Brutus is: ""What are you then determinèd to do?"" [SOURCE [1]]",2,1,"Asks about Brutus’s resolve, not his mood/distancing; partially aligned."
4,What does Brutus admit to Cassius?,That he fears the people want Caesar to be king,"According to the sources provided, Brutus admits to Cassius that if they lose this battle, it will be the very last time they shall speak together [SOURCE[1], lines 106-107]. This admission suggests a sense of resignation and fatalism on Brutus' part, acknowledging that their friendship may be coming to an end.

In SOURCE[2], Brutus' speech in Caesar's funeral suggests that he is willing to accept the consequences of his actions. He acknowledges Caesar's good qualities, but justifies his assassination by saying that Caesar was ambitious [SOURCE[2], lines 87-103]. This admission implies a sense of moral certainty on Brutus' part, as he believes that he has done what is necessary to save Rome.

In SOURCE[3], Cassius reports to Brutus about the death of Titinius and his own approaching mortality. He does not explicitly ask Brutus for an admission or confession, but the context suggests that Cassius may be seeking some sort of reconciliation or understanding with Brutus before he dies [SOURCE[3], lines 85-116].

In SOURCE[4] and SOURCE[5], there is no direct admission or confession from Brutus to Cassius. However, these scenes do suggest a sense of foreboding and tension between the two characters as they prepare for their final confrontation [SOURCE[4] and SOURCE[5]].

Overall, it can be inferred that Brutus admits to Cassius his willingness to accept the consequences of their actions, both in terms of their friendship and their roles in Caesar's assassination.",1,1,"Misses the ‘fears the people want Caesar king,’ hallucinates."
5,What does Antony offer Caesar in the marketplace?,The crown,"According to the sources provided, Mark Antony offers Caesar's body to the marketplace [SOURCE 1]. Specifically, Antony asks that Caesar's body be placed in the pulpit of the marketplace, where he intends to deliver a eulogy as part of Caesar's funeral proceedings [SOURCE 1]. This gesture is a sign of respect and friendship, as well as an opportunity for Antony to express his feelings about Caesar's death.",1,1,"Misinterprets funeral context, not the crown."
6,"That night, which of the following omens are seen?","Dead men walking, Lions strolling in the marketplace, Lightning","According to the sources, that night, Cassius expresses concern about the ominous signs they have seen [SOURCE[1]]. Later, Brutus reveals that Cassius is no more, stating ""Clouds, dews, and dangers come"" [SOURCE[3]], suggesting that the group has experienced unsettling omens. Additionally, Titinius notes the setting sun, comparing it to Cassius' demise, further reinforcing a sense of foreboding [SOURCE[3]].",1,1,"Omens too vague, actual omens missing."
7,What finally convinces Brutus to join the conspirators?,Forged letters planted by Cassius,"What finally convinces Brutus to join the conspirators is not explicitly stated in the provided sources. However, we can infer that Brutus has been persuaded by Cassius' words, as seen in SOURCE[3]:

""O conspiracy,
Sham'st thou to show thy dang'rous brow by night,
When evils are most free? O, then, by day
Where wilt thou find a cavern dark enough
To mask thy monstrous visage? Seek none,
conspiracy.
Hide it in smiles and affability; 
For if thou path, thy native semblance on,
Not Erebus itself were dim enough
To hide thee from prevention.""

This passage suggests that Brutus has been convinced by Cassius' argument that the conspiracy should be hidden in order to succeed. Additionally, SOURCE[4] implies that Lucilius may have shared information with Brutus about his reception by the conspirators, which could have further swayed him to join.

It is also possible that Brutus was persuaded by the presence of other respected Roman leaders among the conspirators, such as Cassius and Decius. However, without further context or explicit statements from Brutus himself, it is difficult to pinpoint a single factor that convinced him to join the plot against Julius Caesar.

[Sources:
SOURCE[1]: Julius Caesar ACT 5. SC. 5
SOURCE[2]: Julius Caesar ACT 5. SC. 5
SOURCE[3]: Julius Caesar ACT 5. SC. 5
SOURCE[4]: Julius Caesar ACT 5. SC. 3]",1,1,"Hallucinates, ‘forged letters’ not mentioned, poor reasoning."
8,Why does Calpurnia urge Caesar to stay home rather than appear at the Senate?,She has had nightmares about his death,"Based on Calpurnia's speech in Act 2, Scene 2 of Julius Caesar, it can be inferred that she urges Caesar to stay home rather than appear at the Senate because she has had a prophetic dream that foretells his assassination [SOURCE 1]. She believes that her dream is a warning and portent of imminent evil, and she begs Caesar to heed her warnings and stay at home.

Caesar, however, is convinced that he must attend the Senate and is dismissive of Calpurnia's concerns, seeing them as rooted in superstition rather than reason [SOURCE 2]. He believes that his presence at the Senate will only make him appear more formidable and that any perceived weakness or fear on his part would be exploited by those plotting against him.

Calpurnia also argues that if Caesar does not attend the Senate, it would be seen as a sign of cowardice, which could further undermine his position [SOURCE 3]. She suggests that Caesar's absence might lead to rumors and speculation about his supposed fear or reluctance to face his enemies, which could ultimately harm his reputation.

Furthermore, Cassius notes that Caesar has become increasingly superstitious and influenced by augurers' readings, which may affect his decision-making [SOURCE 4]. This highlights the tension between Calpurnia's concerns and Caesar's confidence in his own abilities.

Ultimately, it can be concluded that Calpurnia urges Caesar to stay home because she believes her dream is a genuine warning of impending danger, while Caesar sees her concerns as unfounded and seeks to maintain his reputation and authority.",3,3,"Cites nightmare & dream, full context provided."
9,Why does Caesar ignore Calpurnia's warnings?,Decius convinces him that Calpurnia has interpreted the dream and the omens incorrectly,"According to the sources [SOURCE 1] and [SOURCE 2], Calphurnia warns Caesar not to go forth, citing her fear that he may be harmed or even killed. She tries to persuade him by emphasizing his own wisdom, saying that it is ""consumed in confidence"" [SOURCE 1]. However, Caesar ignores her warnings, responding with a sense of bravado and confidence in his own abilities.

It appears that Caesar's decision to ignore Calphurnia's warnings stems from his overconfidence in himself and his position as the ruler. He believes that he is invulnerable to harm, as evidenced by his response to Calphurnia: ""Danger knows full well / That Caesar is more dangerous than he"" [SOURCE 1]. This arrogance ultimately contributes to his downfall.

In contrast, Cassius, another character in the play, expresses concern about Caesar's potential fall from power. When Brutus asks if Caesar fears the people choosing him as king, Cassius responds, ""Ay, do you fear it? / Then must I think you would not have it so"" [SOURCE 3]. This conversation suggests that even some of Caesar's closest allies and advisors were wary of his growing power and influence.

Overall, Caesar's decision to ignore Calphurnia's warnings is a key moment in the play, highlighting his flaws and ultimately leading to his downfall.",2,2,"Overconfidence mentioned, but Decius’s manipulation missing."
10,What does Artemidorus offer Caesar in the street?,A letter warning him about the conspiracy,"According to SOURCE[4], Artemidorus offers Caesar a chance to ""Look upon Caesar"" as he passes by in the street.",1,1,‘Look upon Caesar’ is not a warning letter.
